PMID,Split,Number of Annotators,Aggregate,Has Human Subjects,Has Target Disease,Cohort Study or Clinical Trial,Has Quantitative Outcome Measure,Has Study Drug(s),Has Population Size,Has Comparator Group
11777291,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1320241,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9216092,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30553135,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17186001,Test,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
33849926,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30017719,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2691483,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
11348933,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6497240,Validation,3,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0
26200040,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32907638,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
34398888,Validation,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
35187850,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11493229,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16187778,Validation,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
6135344,Train,3,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8934600,Validation,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11314873,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
31888723,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25351232,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
15567458,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19588410,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
27836009,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7579423,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18840367,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3731824,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26505596,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11410410,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32646502,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
7705113,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29636109,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1611965,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
14749145,Test,3,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11986904,Train,3,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17264803,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23876376,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
15837835,Test,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
31294486,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18606102,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1100130,Train,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25025694,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16195983,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10522926,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6438457,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23169503,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18954629,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
22067268,Train,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
15683501,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
16467039,Test,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2778791,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1708910,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16331635,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12422579,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34813516,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11147928,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
678181,Train,3,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2877480,Train,3,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1478401,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
13895,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
17258415,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
11531620,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27893543,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
23562005,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
31690730,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1929631,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28768265,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
30968335,Test,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
27188755,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28444141,Train,3,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
8299668,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3534842,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10541425,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
17848751,Validation,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
